task,model,published_metric,outcomes,correct,incorrect,quality
leaderboard_bbh_boolean_expressions,Qwen2.5-1.5B,acc_norm,250,209,41,0.836
leaderboard_bbh_boolean_expressions,Qwen2.5-3B,acc_norm,250,192,58,0.768
leaderboard_bbh_boolean_expressions,Qwen2.5-7B,acc_norm,250,211,39,0.844
leaderboard_bbh_causal_judgement,Qwen2.5-1.5B,acc_norm,187,108,79,0.5775401069518716
leaderboard_bbh_causal_judgement,Qwen2.5-3B,acc_norm,187,117,70,0.6256684491978609
leaderboard_bbh_causal_judgement,Qwen2.5-7B,acc_norm,187,99,88,0.5294117647058824
leaderboard_bbh_date_understanding,Qwen2.5-1.5B,acc_norm,250,103,147,0.412
leaderboard_bbh_date_understanding,Qwen2.5-3B,acc_norm,250,114,136,0.456
leaderboard_bbh_date_understanding,Qwen2.5-7B,acc_norm,250,141,109,0.564
leaderboard_bbh_disambiguation_qa,Qwen2.5-1.5B,acc_norm,250,118,132,0.472
leaderboard_bbh_disambiguation_qa,Qwen2.5-3B,acc_norm,250,137,113,0.548
leaderboard_bbh_disambiguation_qa,Qwen2.5-7B,acc_norm,250,157,93,0.628
leaderboard_bbh_formal_fallacies,Qwen2.5-1.5B,acc_norm,250,139,111,0.556
leaderboard_bbh_formal_fallacies,Qwen2.5-3B,acc_norm,250,125,125,0.5
leaderboard_bbh_formal_fallacies,Qwen2.5-7B,acc_norm,250,149,101,0.596
leaderboard_bbh_geometric_shapes,Qwen2.5-1.5B,acc_norm,250,49,201,0.196
leaderboard_bbh_geometric_shapes,Qwen2.5-3B,acc_norm,250,98,152,0.392
leaderboard_bbh_geometric_shapes,Qwen2.5-7B,acc_norm,250,129,121,0.516
leaderboard_bbh_hyperbaton,Qwen2.5-1.5B,acc_norm,250,165,85,0.66
leaderboard_bbh_hyperbaton,Qwen2.5-3B,acc_norm,250,159,91,0.636
leaderboard_bbh_hyperbaton,Qwen2.5-7B,acc_norm,250,130,120,0.52
leaderboard_bbh_logical_deduction_five_objects,Qwen2.5-1.5B,acc_norm,250,72,178,0.288
leaderboard_bbh_logical_deduction_five_objects,Qwen2.5-3B,acc_norm,250,103,147,0.412
leaderboard_bbh_logical_deduction_five_objects,Qwen2.5-7B,acc_norm,250,126,124,0.504
leaderboard_bbh_logical_deduction_seven_objects,Qwen2.5-1.5B,acc_norm,250,58,192,0.232
leaderboard_bbh_logical_deduction_seven_objects,Qwen2.5-3B,acc_norm,250,101,149,0.404
leaderboard_bbh_logical_deduction_seven_objects,Qwen2.5-7B,acc_norm,250,118,132,0.472
leaderboard_bbh_logical_deduction_three_objects,Qwen2.5-1.5B,acc_norm,250,94,156,0.376
leaderboard_bbh_logical_deduction_three_objects,Qwen2.5-3B,acc_norm,250,155,95,0.62
leaderboard_bbh_logical_deduction_three_objects,Qwen2.5-7B,acc_norm,250,190,60,0.76
leaderboard_bbh_movie_recommendation,Qwen2.5-1.5B,acc_norm,250,168,82,0.672
leaderboard_bbh_movie_recommendation,Qwen2.5-3B,acc_norm,250,173,77,0.692
leaderboard_bbh_movie_recommendation,Qwen2.5-7B,acc_norm,250,142,108,0.568
leaderboard_bbh_navigate,Qwen2.5-1.5B,acc_norm,250,143,107,0.572
leaderboard_bbh_navigate,Qwen2.5-3B,acc_norm,250,170,80,0.68
leaderboard_bbh_navigate,Qwen2.5-7B,acc_norm,250,173,77,0.692
leaderboard_bbh_object_counting,Qwen2.5-1.5B,acc_norm,250,105,145,0.42
leaderboard_bbh_object_counting,Qwen2.5-3B,acc_norm,250,42,208,0.168
leaderboard_bbh_object_counting,Qwen2.5-7B,acc_norm,250,85,165,0.34
leaderboard_bbh_penguins_in_a_table,Qwen2.5-1.5B,acc_norm,146,69,77,0.4726027397260274
leaderboard_bbh_penguins_in_a_table,Qwen2.5-3B,acc_norm,146,67,79,0.4589041095890411
leaderboard_bbh_penguins_in_a_table,Qwen2.5-7B,acc_norm,146,82,64,0.5616438356164384
leaderboard_bbh_reasoning_about_colored_objects,Qwen2.5-1.5B,acc_norm,250,100,150,0.4
leaderboard_bbh_reasoning_about_colored_objects,Qwen2.5-3B,acc_norm,250,108,142,0.432
leaderboard_bbh_reasoning_about_colored_objects,Qwen2.5-7B,acc_norm,250,162,88,0.648
leaderboard_bbh_ruin_names,Qwen2.5-1.5B,acc_norm,250,84,166,0.336
leaderboard_bbh_ruin_names,Qwen2.5-3B,acc_norm,250,100,150,0.4
leaderboard_bbh_ruin_names,Qwen2.5-7B,acc_norm,250,142,108,0.568
leaderboard_bbh_salient_translation_error_detection,Qwen2.5-1.5B,acc_norm,250,72,178,0.288
leaderboard_bbh_salient_translation_error_detection,Qwen2.5-3B,acc_norm,250,108,142,0.432
leaderboard_bbh_salient_translation_error_detection,Qwen2.5-7B,acc_norm,250,136,114,0.544
leaderboard_bbh_snarks,Qwen2.5-1.5B,acc_norm,178,101,77,0.5674157303370787
leaderboard_bbh_snarks,Qwen2.5-3B,acc_norm,178,115,63,0.6460674157303371
leaderboard_bbh_snarks,Qwen2.5-7B,acc_norm,178,128,50,0.7191011235955056
leaderboard_bbh_sports_understanding,Qwen2.5-1.5B,acc_norm,250,151,99,0.604
leaderboard_bbh_sports_understanding,Qwen2.5-3B,acc_norm,250,174,76,0.696
leaderboard_bbh_sports_understanding,Qwen2.5-7B,acc_norm,250,183,67,0.732
leaderboard_bbh_temporal_sequences,Qwen2.5-1.5B,acc_norm,250,51,199,0.204
leaderboard_bbh_temporal_sequences,Qwen2.5-3B,acc_norm,250,54,196,0.216
leaderboard_bbh_temporal_sequences,Qwen2.5-7B,acc_norm,250,136,114,0.544
leaderboard_bbh_tracking_shuffled_objects_five_objects,Qwen2.5-1.5B,acc_norm,250,39,211,0.156
leaderboard_bbh_tracking_shuffled_objects_five_objects,Qwen2.5-3B,acc_norm,250,36,214,0.144
leaderboard_bbh_tracking_shuffled_objects_five_objects,Qwen2.5-7B,acc_norm,250,40,210,0.16
leaderboard_bbh_tracking_shuffled_objects_seven_objects,Qwen2.5-1.5B,acc_norm,250,33,217,0.132
leaderboard_bbh_tracking_shuffled_objects_seven_objects,Qwen2.5-3B,acc_norm,250,26,224,0.104
leaderboard_bbh_tracking_shuffled_objects_seven_objects,Qwen2.5-7B,acc_norm,250,33,217,0.132
leaderboard_bbh_tracking_shuffled_objects_three_objects,Qwen2.5-1.5B,acc_norm,250,83,167,0.332
leaderboard_bbh_tracking_shuffled_objects_three_objects,Qwen2.5-3B,acc_norm,250,86,164,0.344
leaderboard_bbh_tracking_shuffled_objects_three_objects,Qwen2.5-7B,acc_norm,250,60,190,0.24
leaderboard_bbh_web_of_lies,Qwen2.5-1.5B,acc_norm,250,133,117,0.532
leaderboard_bbh_web_of_lies,Qwen2.5-3B,acc_norm,250,122,128,0.488
leaderboard_bbh_web_of_lies,Qwen2.5-7B,acc_norm,250,141,109,0.564
leaderboard_gpqa_diamond,Qwen2.5-1.5B,acc_norm,198,55,143,0.2777777777777778
leaderboard_gpqa_diamond,Qwen2.5-3B,acc_norm,198,58,140,0.29292929292929293
leaderboard_gpqa_diamond,Qwen2.5-7B,acc_norm,198,58,140,0.29292929292929293
leaderboard_ifeval,Qwen2.5-1.5B,prompt_level_strict_acc,300,124,176,0.41333333333333333
leaderboard_ifeval,Qwen2.5-3B,prompt_level_strict_acc,300,183,117,0.61
leaderboard_ifeval,Qwen2.5-7B,prompt_level_strict_acc,300,219,81,0.73
leaderboard_math_algebra_hard,Qwen2.5-1.5B,exact_match,300,13,287,0.043333333333333335
leaderboard_math_algebra_hard,Qwen2.5-3B,exact_match,300,0,300,0.0
leaderboard_math_algebra_hard,Qwen2.5-7B,exact_match,300,0,300,0.0
leaderboard_math_counting_and_prob_hard,Qwen2.5-1.5B,exact_match,123,0,123,0.0
leaderboard_math_counting_and_prob_hard,Qwen2.5-3B,exact_match,123,0,123,0.0
leaderboard_math_counting_and_prob_hard,Qwen2.5-7B,exact_match,123,0,123,0.0
leaderboard_math_geometry_hard,Qwen2.5-1.5B,exact_match,132,0,132,0.0
leaderboard_math_geometry_hard,Qwen2.5-3B,exact_match,132,0,132,0.0
leaderboard_math_geometry_hard,Qwen2.5-7B,exact_match,132,0,132,0.0
leaderboard_math_intermediate_algebra_hard,Qwen2.5-1.5B,exact_match,280,1,279,0.0035714285714285713
leaderboard_math_intermediate_algebra_hard,Qwen2.5-3B,exact_match,280,0,280,0.0
leaderboard_math_intermediate_algebra_hard,Qwen2.5-7B,exact_match,280,0,280,0.0
leaderboard_math_num_theory_hard,Qwen2.5-1.5B,exact_match,154,0,154,0.0
leaderboard_math_num_theory_hard,Qwen2.5-3B,exact_match,154,0,154,0.0
leaderboard_math_num_theory_hard,Qwen2.5-7B,exact_match,154,0,154,0.0
leaderboard_math_prealgebra_hard,Qwen2.5-1.5B,exact_match,193,3,190,0.015544041450777202
leaderboard_math_prealgebra_hard,Qwen2.5-3B,exact_match,193,0,193,0.0
leaderboard_math_prealgebra_hard,Qwen2.5-7B,exact_match,193,0,193,0.0
leaderboard_math_precalculus_hard,Qwen2.5-1.5B,exact_match,135,0,135,0.0
leaderboard_math_precalculus_hard,Qwen2.5-3B,exact_match,135,0,135,0.0
leaderboard_math_precalculus_hard,Qwen2.5-7B,exact_match,135,0,135,0.0
leaderboard_mmlu_pro,Qwen2.5-1.5B,acc,300,86,214,0.2866666666666667
leaderboard_mmlu_pro,Qwen2.5-3B,acc,300,98,202,0.32666666666666666
leaderboard_mmlu_pro,Qwen2.5-7B,acc,300,129,171,0.43
leaderboard_musr_murder_mysteries,Qwen2.5-1.5B,acc_norm,250,125,125,0.5
leaderboard_musr_murder_mysteries,Qwen2.5-3B,acc_norm,250,125,125,0.5
leaderboard_musr_murder_mysteries,Qwen2.5-7B,acc_norm,250,128,122,0.512
leaderboard_musr_object_placements,Qwen2.5-1.5B,acc_norm,256,54,202,0.2109375
leaderboard_musr_object_placements,Qwen2.5-3B,acc_norm,256,60,196,0.234375
leaderboard_musr_object_placements,Qwen2.5-7B,acc_norm,256,63,193,0.24609375
leaderboard_musr_team_allocation,Qwen2.5-1.5B,acc_norm,250,97,153,0.388
leaderboard_musr_team_allocation,Qwen2.5-3B,acc_norm,250,114,136,0.456
leaderboard_musr_team_allocation,Qwen2.5-7B,acc_norm,250,112,138,0.448
